route_id,grade,type
1,5.10,Sport
2,5.10,Sport
4,5.10,Sport
5,5.11,Sport
6,5.11,Sport
10,5.11,Sport
13,5.11,Bouldering
16,5.10,Sport
17,5.10,Bouldering
25,5.10,Sport
32,5.8,Sport
34,v5,Bouldering
43,5.12,Bouldering
45,v8,Bouldering
46,v5,Bouldering
47,v7,Bouldering
48,v8,Bouldering
49,v6,Bouldering
50,v7,Bouldering
56,5.11,Sport
57,5.10,Sport
58,5.10,Sport
59,V0,Bouldering
61,5.10,Sport
64,5.8,Toprope
67,V6/7,Bouldering
70,5.10,Sport
71,v4,Bouldering
72,5.10,Bouldering
73,5.8,Bouldering
79,V2,Bouldering
81,V2,Bouldering
90,5.10,Sport
94,V6,Bouldering
115,V4,Bouldering
124,V8,Bouldering
125,5.10,Sport
135,V7,Bouldering
149,V6,Bouldering
156,5.12b,Sport
159,V3/4,Bouldering
160,5.11,Bouldering
161,V6,Bouldering
164,5.12,Sport
169,5.10,Sport
170,v4,Bouldering
177,5.11,Bouldering
179,V4,Bouldering
182,5.10,Sport
188,V0,Bouldering
194,5.10,Sport
199,5.10,Sport
201,5.11,Sport
205,5.10,Bouldering
207,5.12a,Bouldering
211,5.11d,Bouldering
212,5.10,Sport
221,v4,Bouldering
226,5.10,Bouldering
230,5.10d,Sport
232,V5,Bouldering
237,5.11d,Sport
238,5.10,Toprope
240,5.12,TR
243,v4,Bouldering
245,5.10,Bouldering
246,5.10,Bouldering
256,V4,Bouldering
259,V3,Bouldering
261,5.10,Sport
266,v4,Bouldering
270,v4,Bouldering
275,v4,Bouldering
283,v3+,Bouldering
284,v4-,Bouldering
285,5.11,TR
290,v10,Bouldering
296,V3,Bouldering
298,5.10,Sport
301,v3,Bouldering
306,4,Bouldering
310,5.10,Sport
312,5.10,Sport
325,5.11,Sport
329,V3,Bouldering
332,5.10,Sport
344,5.10,Sport
352,V4,Bouldering
371,V5,Bouldering
372,V4,Bouldering
373,V0,Bouldering
374,V4,Bouldering
377,V3,Bouldering
380,5.10,Sport
384,v3,Bouldering
385,5.10,Sport
395,v4,Bouldering
398,5.8,Toprope
407,5.10,Sport
408,5.10,Sport
409,5.12a,Sport
414,5.10,Sport
415,V2/3,Bouldering
428,v3,Bouldering
430,5.10,Sport
440,5.8,Sport
446,5.12,Sport
451,5.10,Sport
452,v7,Bouldering
454,5.10,Bouldering
458,V8,Bouldering
464,V3,Bouldering
473,5.10c,Sport
487,V3,Bouldering
499,V3,Bouldering
505,5.10,Sport
521,v5,Bouldering
533,5.15,Bouldering
536,5.10,Sport
537,5.11a,Sport
541,5.10,Sport
546,V9,Bouldering
549,V4,Bouldering
550,V3,Bouldering
565,V2,Bouldering
593,V5,Bouldering
594,V4,Bouldering
597,5.10c,Sport
613,5.12,Bouldering
621,5.10,Sport
629,5.10,Bouldering
638,5.10,Bouldering
641,5.10,Bouldering
643,5.10,Bouldering
648,5.10,Sport
650,v0,Bouldering
652,v2,Bouldering
655,v5+,Bouldering
657,v3,Bouldering
669,v4,Bouldering
675,Vmack,Bouldering
692,v4,Bouldering
693,V5+,Bouldering
694,V5+,Bouldering
701,V0,Bouldering
702,V4,Bouldering
706,V4,Bouldering
717,5.10,Bouldering
719,V10,Bouldering
720,5.5,TR
721,5.10,Sport
727,5.10,Sport
731,5.10,Bouldering
738,5.11,Toprope
741,5.10,Sport
744,v1,Bouldering
748,v2,Bouldering
752,v4,Bouldering
757,5.10,Sport
760,V2/3,Bouldering
761,5.10,Bouldering
767,v5,Bouldering
796,5.10,Sport
801,5.10,Sport
805,5.10,TR
807,5.10,Sport
810,5.10,Sport
811,5.10,TR
812,5.10,Sport
815,5.10,Bouldering
816,5.10,TR
821,v5,Bouldering
822,v5,Bouldering
823,5.10,Sport
847,5.10,Sport
849,V4,Bouldering
862,5.10,Bouldering
867,5.8,TR
875,5.4,Toprope
876,5.10,Sport
877,V4,Bouldering
881,5.10,Sport
882,5.10,Sport
883,5.10,Sport
895,5.10,TR
897,5.10,Sport
912,5.10,Sport
914,5.7,Sport
915,5.7,Sport
916,5.12,TR
922,5.11,Bouldering
925,5.10,Sport
926,5.10,Sport
930,5.9,TR
931,v1,Bouldering
934,5.10,Sport
938,5.10,Sport
939,5.10,Sport
945,V7,Bouldering
950,5.7,Sport
953,5.7,Sport
965,5.10,Bouldering
975,5.10,Sport
1000,5.10,Sport
1001,5.10,Sport
1002,5.13,TR
1003,5.13,TR
1007,5.10,Sport
1011,5.10,Sport
1012,5.12,Bouldering
